FAO Countries;Countries from Income_groups
Myanmar;Myanmar
Burundi;Burundi
Western Africa;Western Africa
Belarus;Belarus
Cambodia;Cambodia
Algeria;Algeria
Cameroon;Cameroon
Canada;Canada
Central Asia;Central Asia
Sri Lanka;Sri Lanka
Western Asia;Western Asia
Chad;Chad
Northern Africa;Northern Africa
Europe;Europe
Chile;Chile
China;China
China,Taiwan;Taiwan, China
Colombia;Colombia
Democratic Republic of the Congo; Congo, Dem. Rep.
Costa Rica;Costa Rica
Cuba;Cuba
Cyprus;Cyprus
Africa;Africa
Sub-Saharan Africa;Sub-Saharan Africa
Czechia;Czech Republic
Benin;Benin
Denmark;Denmark
Northern America;Northern America
Dominican Republic;Dominican Republic
Ecuador;Ecuador
El Salvador;El Salvador
Ethiopia;Ethiopia
Eritrea;Eritrea
Estonia;Estonia
Angola;Angola
Fiji;Fiji
Finland;Finland
France;France
Gabon;Gabon
Georgia;Georgia
Gambia;Gambia, The
Germany;Germany
Ghana;Ghana
Azerbaijan;Azerbaijan
Argentina;Argentina
Guatemala;Guatemala
Guinea;Papua New Guinea
Guyana;Guyana
Haiti;Haiti
Southern Asia;Southern Asia
Honduras;Honduras
Hungary;Hungary
South-Eastern Asia;South-Eastern Asia
India;India
Australia;Australia
Indonesia;Indonesia
Iran (Islamic Republic of);Iran, Islamic Rep.
Ireland;Ireland
Israel;Israel
Italy;Italy
Côte d'Ivoire;Côte d'Ivoire
Jamaica;Jamaica
Japan;Japan
Kazakhstan;Kazakhstan
Afghanistan;Afghanistan
Austria;Austria
Jordan;Jordan
Kenya;Kenya
Democratic People's Republic of Korea;Korea, Dem. People's Rep.
Republic of Korea;Korea, Rep.
Kyrgyzstan;Kyrgyz Republic
Lao People's Democratic Republic;Lao PDR
Latin America and the Caribbean;Latin America and the Caribbean
Lesotho;Lesotho
Latvia;Latvia
Liberia;Liberia
Libya;Libya
Lithuania;Lithuania
Luxembourg;Luxembourg
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaysia
Mali;Mali
Mauritania;Mauritania
Bahrain;Bahrain
Mauritius;Mauritius
Mexico;Mexico
Mongolia;Mongolia
Republic of Moldova;Moldova
Bangladesh;Bangladesh
Morocco;Morocco
Mozambique;Mozambique
Armenia;Armenia
Oman;Oman
Namibia;Namibia
Nepal;Nepal
Netherlands;Netherlands
Australia and New Zealand;Australia and New Zealand
New Caledonia;New Caledonia
New Zealand;New Zealand
Nicaragua;Nicaragua
Belgium;Belgium
Niger;Niger
Nigeria;Nigeria
Norway;Norway
Pakistan;Pakistan
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Guinea-Bissau;Guinea-Bissau
Timor-Leste;Timor-Leste
Romania;Romania
Russian Federation;Russian Federation
Rwanda;Rwanda
Saint Kitts and Nevis;St. Kitts and Nevis
Saint Lucia;St. Lucia
Bolivia (Plurinational State of);Bolivia
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Sierra Leone;Sierra Leone
Slovakia;Slovak Republic
Viet Nam;Vietnam
Somalia;Somalia
South Africa;South Africa
Zimbabwe;Zimbabwe
Botswana;Botswana
Spain;Spain
South Sudan;South Sudan
Sudan;Sudan
Eswatini;Eswatini
Sweden;Sweden
Switzerland;Switzerland
Brazil;Brazil
Syrian Arab Republic;Syrian Arab Republic
Tajikistan;Tajikistan
Thailand;Thailand
Togo;Togo
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Türkiye
Uganda;Uganda
Ukraine;Ukraine
The former Yugoslav Republic of Macedonia;North Macedonia
Egypt;Egypt, Arab Rep.
United Kingdom;United Kingdom
United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania;Tanzania
Belize;Belize
United States of America;United States
Burkina Faso;Burkina Faso
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Venezuela (Bolivarian Republic of);Venezuela, RB
Zambia;Zambia
