LPI Countries;Countries from Income_groups
Afghanistan;Afghanistan
Albania;Albania
Algeria;Algeria
Angola;Angola
Argentina;Argentina
Armenia;Armenia
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bahamas, The;Bahamas, The
Bahrain;Bahrain
Bangladesh;Bangladesh
Belarus;Belarus
Belgium;Belgium
Benin;Benin
Bhutan;Bhutan
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana;Botswana
Brazil;Brazil
Brunei Darussalam;Brunei Darussalam
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Central African Republic;Central African Republic
Chad;Chad
Chile;Chile
China;China
Colombia;Colombia
Comoros;Comoros
Congo, Dem. Rep.;Congo, Dem. Rep.
Congo, Rep.;Congo, Rep
Costa Rica;Costa Rica
Cote d'Ivoire;Côte d'Ivoire
Croatia;Croatia
Cuba;Cuba
Cyprus;Cyprus
Czech Republic;Czech Republic
Denmark;Denmark
Djibouti;Djibouti
Dominican Republic;Dominican Republic
Ecuador;Ecuador
Egypt, Arab Rep.;Egypt, Arab Rep.
El Salvador;El Salvador
Equatorial Guinea;Guinea
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Ethiopia
Fiji;Fiji
Finland;Finland
France;France
Gabon;Gabon
Gambia, The;Gambia, The
Georgia;Georgia
Germany;Germany
Ghana;Ghana
Greece;Greece
Guatemala;Guatemala
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Honduras;Honduras
Hong Kong SAR, China;Hong Kong SAR, China
Hungary;Hungary
Iceland;Iceland
India;India
Indonesia;Indonesia
Iran, Islamic Rep.;Iran, Islamic Rep.
Iraq;Iraq
Ireland;Ireland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jordan;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Korea, Rep.;Korea, Rep.
Kuwait;Kuwait
Kyrgyz Republic;Kyrgyz Republic
Lao PDR;Lao PDR
Latvia;Latvia
Lebanon;Lebanon
Lesotho;Lesotho
Liberia;Liberia
Libya;Libya
Lithuania;Lithuania
Luxembourg;Luxembourg
Macedonia, FYR;North Macedonia
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaysia
Maldives;Maldives
Mali;Mali
Malta;Malta
Mauritania;Mauritania
Mauritius;Mauritius
Mexico;Mexico
Moldova;Moldova
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;Morocco
Mozambique;Mozambique
Myanmar;Myanmar
Namibia;Namibia
Nepal;Nepal
Netherlands;Netherlands
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Norway;Norway
Oman;Oman
Pakistan;Pakistan
Panama;Panama
Papua New Guinea;Papua New Guinea
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Qatar;Qatar
Romania;Romania
Russian Federation;Russian Federation
Rwanda;Rwanda
São Tomé and Principe;São Tomé and Principe
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Sierra Leone;Sierra Leone
Singapore;Singapore
Slovak Republic;Slovak Republic
Slovenia;Slovenia
Solomon Islands;Solomon Islands
Somalia;Somalia
South Africa;South Africa
Spain;Spain
Sri Lanka;Sri Lanka
Sudan;Sudan
Sweden;Sweden
Switzerland;Switzerland
Syrian Arab Republic;Syrian Arab Republic
Taiwan, China;Taiwan, China
Tajikistan;Tajikistan
Tanzania;Tanzania
Thailand;Thailand
Timor-Leste;Timor-Leste
Togo;Togo
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Türkiye
Turkmenistan;Turkmenistan
Uganda;Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
United Kingdom;United Kingdom
United States;United States
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Venezuela, RB;Venezuela, RB
Vietnam;Vietnam
Yemen, Rep.;Yemen, Rep.
Zambia;Zambia
Zimbabwe;Zimbabwe
