Order;Policy Short;Policy Component ;Policy Area;Ability to track and trace consignments, score (1=low to 5=high);Competence and quality of logistics services, score (1=low to 5=high);Ease of arranging competitively priced international shipments, score (1=low to 5=high);Efficiency of the clearance process, score (1=low to 5=high);Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high);Quality of trade- and transport-related infrastructure, score (1=low to 5=high);High-Income Economies;Upper-Middle-Income Economies;Lower-Middle Income Economies;Low-Income Economies;EAST ASIA AND PACIFIC;EUROPE AND CENTRAL ASIA;LATIN AMERICA AND THE CARIBBEAN;MIDDLE EAST AND NORTH AFRICA;NORTH AMERICA;SOUTH ASIA;SUB-SAHARAN AFRICA;Cereals (excluding beer);Dairy products;Fruit and Vegetables (including bananas);Meat;Oilseeds and Pulses (including nuts);Roots and Tubers;Farm;Food Services;Harvest;Households;Post-harvest;Processing;Retail;Storage;Trader;Transport;Whole supply chain;Wholesale;Benefits;Risks;Author;Source
1;;Logistics and facilitation observatories: private sector surveys;Tools and institutions to measure and assess logistics performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
2;;Corridor performance indicators;Tools and institutions to measure and assess logistics performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
3;;Port performance indicators, including dwell-time;Tools and institutions to measure and assess logistics performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
4;;Improve cross-border transport agreements;Institutions and regulations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
5;;Allow foreign trucks to transport third-country cargo in transit;Institutions and regulations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
6;;Reduce economic regulation of transport services (e.g., regulatory guillotine);Institutions and regulations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
7;;Allow foreign participation in logistics services;Institutions and regulations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
8;;Introduce professional standards and certification for logistics service providers;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
9;;Introduce standard performance contracts for transport and logistics services;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
10;;Encourage development of large, long-haul trucking fleets;Regulation of transport and logistics service, Quality, reliability of logistics services, Business practices ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;World Bank;https://www.un.org/ohrlls/sites/www.un.org.ohrlls/files/lldcs_publications/tradetransport_facilitation_assessment_practical_toolkit.pdf
