,policies,score,LPI-categorie
0,Logistics and facilitation observatories: private sector surveys,-4,Customs
1,"Port performance indicators, including dwell-time",-4,Customs
2,Corridor performance indicators,-4,Customs
3,Improve cross-border transport agreements,-4,Customs
0,Allow foreign participation in logistics services,-3,Customs
1,Introduce professional standards and certification for logistics service providers,-3,Customs
2,Introduce standard performance contracts for transport and logistics services,-3,Customs
3,"Encourage development of large, long-haul trucking fleets",-3,Customs
4,Create incentives to upgrade transport fleet,-3,Customs
0,Encourage integration of logistics services for trade and distribution,-2,Customs
1,Allow increase scale of logistics service providers (Mergers & Acquisitions),-2,Customs
2,Allow introduction of new technologies for tracking and security,-2,Customs
3,Introduce modern supply chain management techniques,-2,Customs
4,Support for a national logistics council and other mechanisms for selfregulation,-2,Customs
5,"Reduce economic regulation of transport services (e.g., regulatory guillotine)",-2,Customs
0,Improve border facilities,-1,Customs
1,Reform and automate customs procedures,-1,Customs
2,Allow foreign trucks to transport third-country cargo in transit,-1,Customs
3,"Introduce risk management programs to expedite clearance:  Reduced inspections, Authorized economic operators ",-1,Customs
4,Integrate activities of border management agencies,-1,Customs
5,Introduce a single point of entry for information used in clearing cargo,-1,Customs
6,Promote cross-border cooperation in monitoring and clearing cargo,-1,Customs
0,Simplify trade and infrastructure tariffs,0,Customs
1,Reduce controlled commodities and certification requirements,0,Customs
2,Revise domestic tax policy to facilitate movement of goods within a country,0,Customs
3,Increase inland clearance of cargo,0,Customs
4,"Automate and simplify procedures for sanitary and phytosanitary, and for standards certification",0,Customs
5,Accept scanned copies for supporting document and e-signatures,0,Customs
6,"Improve trade security (e.g., scanners, secure supply chains)",0,Customs
7,Develop public information platforms for sharing trade and logistics data,0,Customs
0,"Develop capacity to analyze indicators, monitor results of policies and investments",1,Customs
1,Plan and manage multimodal freight corridors,1,Customs
2,Improve collection of key statistical information and performance indicators,1,Customs
3,Strengthen capacity of authorities regulating trade and logistics,1,Customs
4,Introduce e-government services and e-signatures to facilitate government approvals,1,Customs
5,"Reform banking practices related to trade, liberalize foreign exchange transactions",1,Customs
6,"Develop urban and line-haul transport interface (e.g., urban truck terminals)",1,Customs
0,Upgrade existing transport link,2,Customs
1,Establish dry ports and inland clearance facilities,2,Customs
2,Plan and manage multi-country freight corridor,2,Customs
3,"Develop logistics hubs (e.g., free zones, distribution centers)",2,Customs
4,Construct new transport link,2,Customs
5,Introduce commercial management in port and airport operations,2,Customs
0,Improve the effectiveness of customs operations with single window initiatives,3,Customs
1,Coordinate customs operations with trusted importers and exporters,3,Customs
2,Improve telecommunications services to support logistics,3,Customs
3,Create special customs zones,3,Customs
4,Expand the ease to move cargo between customs entities within the same country.,3,Customs
0,Open terminal facilities to private terminal operators.,4,Customs
1,Develop gateways (ports and airports) as locations of national strategic interest.,4,Customs
2,Develop or expand key transport connectors between logistical activities (e.g. terminals and logistics zones).,4,Customs
3,Develop zones supporting logistics activities.,4,Customs
0,Corridor performance indicators,-4,Infrastructure
1,"Port performance indicators, including dwell-time",-4,Infrastructure
2,Improve cross-border transport agreements,-4,Infrastructure
3,Introduce standard performance contracts for transport and logistics services,-4,Infrastructure
0,Allow foreign trucks to transport third-country cargo in transit,-3,Infrastructure
1,"Reduce economic regulation of transport services (e.g., regulatory guillotine)",-3,Infrastructure
2,Allow foreign participation in logistics services,-3,Infrastructure
3,Encourage integration of logistics services for trade and distribution,-3,Infrastructure
4,Allow introduction of new technologies for tracking and security,-3,Infrastructure
0,Introduce professional standards and certification for logistics service providers,-2,Infrastructure
1,Logistics and facilitation observatories: private sector surveys,-2,Infrastructure
2,Allow increase scale of logistics service providers (Mergers & Acquisitions),-2,Infrastructure
3,Improve border facilities,-2,Infrastructure
4,"Introduce risk management programs to expedite clearance:  Reduced inspections, Authorized economic operators ",-2,Infrastructure
5,"Improve trade security (e.g., scanners, secure supply chains)",-2,Infrastructure
0,Introduce modern supply chain management techniques,-1,Infrastructure
1,Reform and automate customs procedures,-1,Infrastructure
2,Integrate activities of border management agencies,-1,Infrastructure
3,Promote cross-border cooperation in monitoring and clearing cargo,-1,Infrastructure
4,Accept scanned copies for supporting document and e-signatures,-1,Infrastructure
5,"Automate and simplify procedures for sanitary and phytosanitary, and for standards certification",-1,Infrastructure
6,Increase inland clearance of cargo,-1,Infrastructure
0,Create incentives to upgrade transport fleet,0,Infrastructure
1,Introduce a single point of entry for information used in clearing cargo,0,Infrastructure
2,Reduce controlled commodities and certification requirements,0,Infrastructure
3,Revise domestic tax policy to facilitate movement of goods within a country,0,Infrastructure
4,Construct new transport link,0,Infrastructure
5,Introduce commercial management in port and airport operations,0,Infrastructure
6,Increase private sector participation to provide and maintain public infrastructure,0,Infrastructure
7,Plan and manage multi-country freight corridor,0,Infrastructure
0,"Reform banking practices related to trade, liberalize foreign exchange transactions",1,Infrastructure
1,Introduce e-government services and e-signatures to facilitate government approvals,1,Infrastructure
2,Strengthen capacity of authorities regulating trade and logistics,1,Infrastructure
3,Develop public information platforms for sharing trade and logistics data,1,Infrastructure
4,Improve collection of key statistical information and performance indicators,1,Infrastructure
5,Simplify trade and infrastructure tariffs,1,Infrastructure
6,"Develop capacity to analyze indicators, monitor results of policies and investments",1,Infrastructure
0,"Develop urban and line-haul transport interface (e.g., urban truck terminals)",2,Infrastructure
1,Upgrade existing transport link,2,Infrastructure
2,Improve telecommunications services to support logistics,2,Infrastructure
3,"Develop logistics hubs (e.g., free zones, distribution centers)",2,Infrastructure
4,Establish dry ports and inland clearance facilities,2,Infrastructure
5,Improve the effectiveness of customs operations with single window initiatives,2,Infrastructure
0,Plan and manage multimodal freight corridors,3,Infrastructure
1,Expand the ease to move cargo between customs entities within the same country.,3,Infrastructure
2,Develop gateways (ports and airports) as locations of national strategic interest.,3,Infrastructure
3,Create special customs zones,3,Infrastructure
4,Coordinate customs operations with trusted importers and exporters,3,Infrastructure
0,"Encourage development of large, long-haul trucking fleets",4,Infrastructure
1,Develop or expand key transport connectors between logistical activities (e.g. terminals and logistics zones).,4,Infrastructure
2,"Privatize public terminals, transporters or distributors.",4,Infrastructure
3,Develop zones supporting logistics activities.,4,Infrastructure
0,Corridor performance indicators,-4,International shipments
1,"Port performance indicators, including dwell-time",-4,International shipments
2,Logistics and facilitation observatories: private sector surveys,-4,International shipments
3,Allow foreign trucks to transport third-country cargo in transit,-4,International shipments
0,Introduce professional standards and certification for logistics service providers,-3,International shipments
1,Allow foreign participation in logistics services,-3,International shipments
2,Introduce standard performance contracts for transport and logistics services,-3,International shipments
3,"Reduce economic regulation of transport services (e.g., regulatory guillotine)",-3,International shipments
4,Improve cross-border transport agreements,-3,International shipments
0,Encourage integration of logistics services for trade and distribution,-2,International shipments
1,Allow introduction of new technologies for tracking and security,-2,International shipments
2,Introduce modern supply chain management techniques,-2,International shipments
3,Allow increase scale of logistics service providers (Mergers & Acquisitions),-2,International shipments
4,Support for a national logistics council and other mechanisms for selfregulation,-2,International shipments
5,Reform and automate customs procedures,-2,International shipments
0,Improve border facilities,-1,International shipments
1,"Introduce risk management programs to expedite clearance:  Reduced inspections, Authorized economic operators ",-1,International shipments
2,"Improve trade security (e.g., scanners, secure supply chains)",-1,International shipments
3,Integrate activities of border management agencies,-1,International shipments
