Commodities;Commodity Groups
Almonds, in shell;Oilseeds and Pulses (including nuts)
Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Fruit and Vegetables (including bananas)
Apple juice;Fruit and Vegetables (including bananas)
Apples;Fruit and Vegetables (including bananas)
Apricots;Fruit and Vegetables (including bananas)
Areca nuts;Oilseeds and Pulses (including nuts)
Artichokes;Fruit and Vegetables (including bananas)
Asparagus;Fruit and Vegetables (including bananas)
Avocados;Fruit and Vegetables (including bananas)
Bambara beans, dry;Roots and Tubers
Bananas;Fruit and Vegetables (including bananas)
Barley;Cereals (excluding beer)
Beans, dry;Roots and Tubers
Blueberries;Fruit and Vegetables (including bananas)
Bran of Maize;Cereals (excluding beer)
Brazil nuts, in shell;Oilseeds and Pulses (including nuts)
Broad beans and horse beans, dry;Roots and Tubers
Broad beans and horse beans, green;Roots and Tubers
Buckwheat;Cereals (excluding beer)
Butter of Cow Milk;Dairy products
Cabbages;Fruit and Vegetables (including bananas)
Camels;Meat
Canary seed;Oilseeds and Pulses (including nuts)
Cane sugar, non-centrifugal;Cereals (excluding beer)
Canned mushrooms;Fruit and Vegetables (including bananas)
Cantaloupes and other melons;Fruit and Vegetables (including bananas)
Carrots and turnips;Fruit and Vegetables (including bananas)
Cashew nuts, in shell;Oilseeds and Pulses (including nuts)
Cassava, dry;Oilseeds and Pulses (including nuts)
Cassava, fresh;Oilseeds and Pulses (including nuts)
Cattle;Meat
Cattle fat, unrendered;Meat
Cauliflowers and broccoli;Fruit and Vegetables (including bananas)
Cheese from whole cow milk;Dairy products
Cheese from Whole Cow Milk;Dairy products
Cherries;Fruit and Vegetables (including bananas)
Chestnuts, in shell;Oilseeds and Pulses (including nuts)
Chick peas, dry;Cereals (excluding beer)
Chillies and peppers, dry (<i>Capsicum</i> spp., <i>Pimenta</i> spp.), raw;Fruit and Vegetables (including bananas)
Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.);Fruit and Vegetables (including bananas)
Chillies and peppers, green (Capsicum spp. and Pimenta spp.);Fruit and Vegetables (including bananas)
Cocoa beans;Oilseeds and Pulses (including nuts)
Coconuts, in shell;Fruit and Vegetables (including bananas)
Coffee, green;Oilseeds and Pulses (including nuts)
Copra;Oilseeds and Pulses (including nuts)
Cottonseed;Oilseeds and Pulses (including nuts)
Cow peas, dry;Oilseeds and Pulses (including nuts)
Cranberries;Fruit and Vegetables (including bananas)
Cranberries and other fruits of the genus Vaccinium;Fruit and Vegetables (including bananas)
Cucumbers and gherkins;Fruit and Vegetables (including bananas)
Currants;Fruit and Vegetables (including bananas)
Dairy products n.e.c.;Dairy products
