EAST ASIA AND PACIFIC;EUROPE AND CENTRAL ASIA;LATIN AMERICA AND THE CARIBBEAN;MIDDLE EAST AND NORTH AFRICA;NORTH AMERICA;SOUTH ASIA;SUB-SAHARAN AFRICA;LOW-INCOME ECONOMIES ($1,085 OR LESS) ;LOWER-MIDDLE INCOME ECONOMIES ($1,086 TO $4,255);UPPER-MIDDLE-INCOME ECONOMIES ($4,256 TO $13,205);HIGH-INCOME ECONOMIES ($13,205 OR MORE) 
American Samoa;Albania;Antigua and Barbuda;Algeria;Bermuda;Afghanistan;Angola;Afghanistan;Angola;Albania;Andorra
Australia;Andorra;Argentina;Bahrain;Canada;Bangladesh;Benin;Burkina Faso;Algeria;American Samoa;Antigua and Barbuda
Brunei Darussalam;Armenia;Aruba;Djibouti;United States;Bhutan;Botswana;Burundi;Bangladesh;Argentina;Aruba
Cambodia;Austria;Bahamas, The;Egypt, Arab Rep.;;India;Burkina Faso;Central African Republic;Benin;Armenia;Australia
China;Azerbaijan;Barbados;Iran, Islamic Rep.;;Maldives;Burundi;Chad;Bhutan;Azerbaijan;Austria
Fiji;Belarus;Belize;Iraq;;Nepal;Cabo Verde;Congo, Dem. Rep;Bolivia;Belarus;Bahamas, The
French Polynesia;Belgium;Bolivia;Israel;;Pakistan;Cameroon;Eritrea;Cabo Verde;Belize;Bahrain
Guam;Bosnia and Herzegovina;Brazil;Jordan;;Sri Lanka;Central African Republic;Ethiopia;Cambodia;Bosnia and Herzegovina  ;Barbados
Hong Kong SAR, China;Bulgaria;British Virgin Islands;Kuwait;;;Chad;Gambia, The;Cameroon;Botswana;Belgium
Indonesia;Channel Islands;Cayman Islands;Lebanon;;;Comoros;Guinea;Comoros;Brazil;Bermuda
Japan;Croatia;Chile;Libya;;;Congo, Dem. Rep.;Guinea-Bissau;Congo, Rep.;Bulgaria;British Virgin Islands
Kiribati;Cyprus;Colombia;Malta;;;Congo, Rep;Korea, Dem. People's Rep  ;Côte d'Ivoire;China;Brunei Darussalam
Korea, Dem. People's Rep.;Czech Republic;Costa Rica;Morocco;;;Côte d'Ivoire;Liberia;Djibouti;Colombia;Canada
Korea, Rep.;Denmark;Cuba;Oman;;;Equatorial Guinea;Madagascar;Egypt, Arab Rep.;Costa Rica;Cayman Islands
Lao PDR;Estonia;Curacao;Qatar;;;Eritrea;Malawi;El Salvador;Cuba;Channel Islands
Macao SAR, China;Faroe Islands;Dominica;Saudi Arabia;;;Eswatini;Mali;Eswatini;Dominica;Chile
Malaysia;Finland;Dominican Republic;Syrian Arab Republic;;;Ethiopia;Mozambique;Ghana;Dominican Republic  ;Croatia
Marshall Islands;France;Ecuador;Tunisia;;;Gabon;Niger;Haiti;Equatorial Guinea  ;Curaçao
Micronesia, Fed. Sts.;Georgia;El Salvador;United Arab Emirates;;;Gambia, The;Rwanda;Honduras;Ecuador;Cyprus
Mongolia;Germany;Grenada;West Bank and Gaza;;;Ghana;Sierra Leone;India;Fiji;Czech Republic
Myanmar;Gibraltar;Guatemala;Yemen, Rep.;;;Guinea;Somalia;Indonesia;Gabon;Denmark
Nauru;Greece;Guyana;;;;Guinea-Bissau;South Sudan;Iran, Islamic Rep;Georgia;Estonia
New Caledonia;Greenland;Haiti;;;;Kenya;Sudan;Kenya;Grenada;Faroe Islands
New Zealand;Hungary;Honduras;;;;Lesotho;??Syrian Arab Republic;Kiribati;Guatemala;Finland
Northern Mariana Islands;Iceland;Jamaica;;;;Liberia;Togo;Kyrgyz Republic;Guyana;France
Palau;Ireland;Mexico;;;;Madagascar;Uganda;Lao PDR;Iraq;French Polynesia
Philippines;Isle of Man;Nicaragua;;;;Malawi;Yemen, Rep.;Lebanon;Jamaica;Germany
Samoa;Italy;Panama;;;;Mali;Zambia;Lesotho;Jordan;Gibraltar
Singapore;Kazakhstan;Paraguay;;;;Mauritania;;Mauritania;Kazakhstan;Greece
Solomon Islands;Kosovo;Peru;;;;Mauritius;;Micronesia, Fed. Sts.;Kosovo;Greenland
Taiwan, China;Kyrgyz Republic;Puerto Rico;;;;Mozambique;;Mongolia;Libya;Guam
Thailand;Latvia;Sint Maarten (Dutch part);;;;Namibia;;Morocco;Malaysia;Hong Kong SAR, China
Timor-Leste;Liechtenstein;St. Kitts and Nevis;;;;Niger;;Myanmar;Maldives;Hungary
